Nome prodotto;Prezzo;Link;Occasione;Per chi;Et�;Tipo persona;Sesso;Budget;Categoria regalo;Immagine;MinAge
Piscina di Palline Colorate;81,99;https://www.amazon.it/KiddyMoon-Piscina-Palline-Colorate-Fabbricato/dp/B0BVVT7VD1/ref=zg_mg_g_toys_d_sccl_6/261-1041322-4088136?th=1;Compleanno;Familiare;03-ott;Emotiva;Unisex;??;Giochi & bambini;https://m.media-amazon.com/images/I/41Hj7lFscDL._AC_.jpg;0
Piscina di Palline Colorate;81,99;https://www.amazon.it/KiddyMoon-Piscina-Palline-Colorate-Fabbricato/dp/B0BVVT7VD1/ref=zg_mg_g_toys_d_sccl_6/261-1041322-4088136?th=1;Natale;Familiare;03-ott;Emotiva;Unisex;??;Giochi & bambini;https://m.media-amazon.com/images/I/41Hj7lFscDL._AC_.jpg;0
Pokemon trding card game;25,99;https://www.amazon.it/Pok%C3%A9mon-Rayquaza-Noivern-versione-giocatori/dp/B09C113BRC/ref=zg_mg_g_toys_d_sccl_8/261-1041322-4088136?th=1;Regalo aziendale;Amico;ago-16;Pratica;Unisex;??;Giochi & bambini;https://m.media-amazon.com/images/I/51DWP9DslnL._AC_.jpg;0
Pokemon trding card game;25,99;https://www.amazon.it/Pok%C3%A9mon-Rayquaza-Noivern-versione-giocatori/dp/B09C113BRC/ref=zg_mg_g_toys_d_sccl_8/261-1041322-4088136?th=1;Compleanno;Amico;ago-16;Pratica;Unisex;??;Giochi & bambini;https://m.media-amazon.com/images/I/51DWP9DslnL._AC_.jpg;0
Pokemon trding card game;25,99;https://www.amazon.it/Pok%C3%A9mon-Rayquaza-Noivern-versione-giocatori/dp/B09C113BRC/ref=zg_mg_g_toys_d_sccl_8/261-1041322-4088136?th=1;Natale;Amico;ago-16;Pratica;Unisex;??;Giochi & bambini;https://m.media-amazon.com/images/I/51DWP9DslnL._AC_.jpg;0
Peluche Morbido;18,99;https://www.amazon.it/Zappi-Co-Mosasaurus-giocattolo-collezione/dp/B08QD24BPH/ref=zg_mg_g_toys_d_sccl_9/261-1041322-4088136?th=1;Compleanno;Familiare;03-ott;Emotiva;Unisex;?;Giochi & bambini;https://m.media-amazon.com/images/I/51X1VL3vlQL._AC_.jpg;0
Peluche Morbido;18,99;https://www.amazon.it/Zappi-Co-Mosasaurus-giocattolo-collezione/dp/B08QD24BPH/ref=zg_mg_g_toys_d_sccl_9/261-1041322-4088136?th=1;Natale;Familiare;03-ott;Emotiva;Unisex;?;Giochi & bambini;https://m.media-amazon.com/images/I/51X1VL3vlQL._AC_.jpg;0
Tappeto Puzzle per Bambini;34,9;https://www.amazon.it/dp/B09DBYPQ49/ref=sspa_dk_detail_2?pd_rd_i=B09DBYPQ49&pd_rd_w=2YCG8&content-id=amzn1.sym.27357f71-bd5d-4a5b-ba8c-4ad04b414c62&pf_rd_p=27357f71-bd5d-4a5b-ba8c-4ad04b414c62&pf_rd_r=Q73TWBTQ6QASKDTT0E9K&pd_rd_wg=ku5lf&pd_rd_r=da929f38-40fd-46cc-9ca4-5211ab12e28b&aref=43OKmQPUML&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw&th=1;Compleanno;Familiare;03-ott;Creativa;Unisex;??;Giochi & bambini;https://m.media-amazon.com/images/I/51eM6R6iS+L._AC_.jpg;0
Tappeto Puzzle per Bambini;34,9;https://www.amazon.it/dp/B09DBYPQ49/ref=sspa_dk_detail_2?pd_rd_i=B09DBYPQ49&pd_rd_w=2YCG8&content-id=amzn1.sym.27357f71-bd5d-4a5b-ba8c-4ad04b414c62&pf_rd_p=27357f71-bd5d-4a5b-ba8c-4ad04b414c62&pf_rd_r=Q73TWBTQ6QASKDTT0E9K&pd_rd_wg=ku5lf&pd_rd_r=da929f38-40fd-46cc-9ca4-5211ab12e28b&aref=43OKmQPUML&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw&th=1;Natale;Familiare;03-ott;Creativa;Unisex;??;Giochi & bambini;https://m.media-amazon.com/images/I/51eM6R6iS+L._AC_.jpg;0
Portachiavi peluche;9,89;https://www.amazon.it/Trudi-Peluche-portachiavi-collection-TUDL0000/dp/B0DH8BKYLL/ref=zg_mg_g_toys_d_sccl_23/261-1041322-4088136?th=1;Compleanno;Familiare;03-ott;Emotiva;Unisex;?;Giochi & bambini;https://m.media-amazon.com/images/I/31qvYxNaPOL._AC_.jpg;0
